country,iso3,year,population,cases,disease,cases_per_100k
Niger,NER,2021,25252722.0,9271,Measles,36.71287396265638
Niger,NER,2021,25252722.0,20000,Tuberculosis,79.19938294176762
Nigeria,NGA,2021,213401323.0,65399501,Malaria,30646.249086281434
Nigeria,NGA,2021,213401323.0,10649,Measles,4.990128388285577
Nigeria,NGA,2021,213401323.0,467000,Tuberculosis,218.83650646345805
Niue,NIU,2021,1937.0,1,Tuberculosis,51.62622612287042
North Macedonia,MKD,2021,2103330.0,240,Tuberculosis,11.410477671121507
Northern Mariana Islands,MNP,2021,49481.0,40,Tuberculosis,80.83910996139933
Norway,NOR,2021,5403021.0,0,Measles,0.0
Norway,NOR,2021,5403021.0,160,Tuberculosis,2.96130627661821
Occupied Palestinian territory,PSE,2021,5133392.0,11,Measles,0.21428326533411046
Oman,OMN,2021,4520471.0,0,Malaria,0.0
Oman,OMN,2021,4520471.0,0,Measles,0.0
Oman,OMN,2021,4520471.0,270,Tuberculosis,5.972828937515581
Pakistan,PAK,2021,231402117.0,505620,Malaria,218.50275466580973
Pakistan,PAK,2021,231402117.0,10399,Measles,4.493908757109599
Pakistan,PAK,2021,231402117.0,611000,Tuberculosis,264.0425281848221
Palau,PLW,2021,18024.0,9,Tuberculosis,49.93342210386152
Panama,PAN,2021,4351267.0,4585,Malaria,105.37160785582682
Panama,PAN,2021,4351267.0,0,Measles,0.0
Panama,PAN,2021,4351267.0,1800,Tuberculosis,41.36726153554815
Papua New Guinea,PNG,2021,9949437.0,1237112,Malaria,12433.989983553844
Papua New Guinea,PNG,2021,9949437.0,0,Measles,0.0
Papua New Guinea,PNG,2021,9949437.0,42000,Tuberculosis,422.13443836068313
Paraguay,PRY,2021,6703799.0,0,Malaria,0.0
Paraguay,PRY,2021,6703799.0,0,Measles,0.0
Paraguay,PRY,2021,6703799.0,3200,Tuberculosis,47.73412806678721
Peru,PER,2021,33715471.0,23250,Malaria,68.9594400149415
Peru,PER,2021,33715471.0,0,Measles,0.0
Peru,PER,2021,33715471.0,44000,Tuberculosis,130.5038864798893
Philippines,PHL,2021,113880328.0,10609,Malaria,9.315919778523996
Philippines,PHL,2021,113880328.0,206,Measles,0.18089164618493195
Philippines,PHL,2021,113880328.0,741000,Tuberculosis,650.6830573933718
Poland,POL,2021,38307726.0,13,Measles,0.03393571312481456
Poland,POL,2021,38307726.0,4000,Tuberculosis,10.441757884558326
Portugal,PRT,2021,10290103.0,0,Measles,0.0
Portugal,PRT,2021,10290103.0,1700,Tuberculosis,16.520728704076138
Puerto Rico,PRI,2021,3256028.0,20,Tuberculosis,0.6142453320425991
Qatar,QAT,2021,2688235.0,1,Measles,0.03719912879640359
Qatar,QAT,2021,2688235.0,1100,Tuberculosis,40.919041676043946
Republic of Korea,KOR,2021,51830139.0,274,Malaria,0.5286499424591549
Republic of Korea,KOR,2021,51830139.0,0,Measles,0.0
Republic of Korea,KOR,2021,51830139.0,23000,Tuberculosis,44.37572509693636
Republic of Moldova,MDA,2021,3061506.0,0,Measles,0.0
Republic of Moldova,MDA,2021,3061506.0,2600,Tuberculosis,84.92552358218471
Romania,ROU,2021,19328560.0,2,Measles,0.010347382319220883
Romania,ROU,2021,19328560.0,8700,Tuberculosis,45.01111308861084
Russian Federation,RUS,2021,145102755.0,1,Measles,0.0006891667908028348
Russian Federation,RUS,2021,145102755.0,69000,Tuberculosis,47.552508565395605
Rwanda,RWA,2021,13461888.0,1700493,Malaria,12631.90571783096
Rwanda,RWA,2021,13461888.0,40,Measles,0.2971351418166605
Rwanda,RWA,2021,13461888.0,7600,Tuberculosis,56.4556769451655
Saint Kitts and Nevis,KNA,2021,47606.0,0,Measles,0.0
Saint Kitts and Nevis,KNA,2021,47606.0,0,Tuberculosis,0.0
Saint Lucia,LCA,2021,179651.0,0,Measles,0.0
Saint Lucia,LCA,2021,179651.0,3,Tuberculosis,1.6699044258033633
Saint Vincent and the Grenadines,VCT,2021,104332.0,0,Measles,0.0
Saint Vincent and the Grenadines,VCT,2021,104332.0,9,Tuberculosis,8.626308323429054
Samoa,WSM,2021,218764.0,3,Measles,1.371340805617012
Samoa,WSM,2021,218764.0,15,Tuberculosis,6.856704028085059
San Marino,SMR,2021,33745.0,0,Measles,0.0
San Marino,SMR,2021,33745.0,0,Tuberculosis,0.0
Sao Tome and Principe,STP,2021,223107.0,2719,Malaria,1218.6977548889097
